// Monster Effect Database
//
// Structure of Database:
// MobID,EffectID

2603,979
2604,679
2605,1003
2606,544
2607,620
2608,979
2609,679
2610,1003
2611,544
2612,620
2613,979
2614,679
2615,1003
2616,544
2617,620
2618,679
2619,1003
2620,544
2621,620
2622,979
2623,679
2624,1003
2625,544
2626,620
2627,979
2628,679
2629,1003
2630,544
2631,620
2632,679
2633,1003
2634,544
2635,620
2636,979
2637,679
2638,1003
2639,544
2640,620
2641,979
2642,679
2643,1003
2644,544
2645,620
2646,979
2647,679
2648,1003
2649,544
2650,620
2651,979
2652,679
2653,1003
2654,544
2655,620
2656,979
2657,679
2658,1003
2659,544
2660,620
2661,979
2662,679
2663,1003
2664,544
2665,620
2666,979
2667,679
2668,1003
2669,544
2670,620
2671,979
2672,679
2673,1003
2674,544
2675,620
2676,979
2677,679
2678,1003
2679,544
2680,620
2681,979
2682,679
2683,1003
2684,544
2685,620
2686,979
2687,679
2688,1003
2689,620
2690,979
2691,679
2692,1003
2693,544
2694,620
2695,979
2696,1003
2697,544
2698,620
2699,979
2700,679
2701,1003
2702,544
2703,620
2704,979
2705,679
2706,1003
2707,544
2708,620
2709,979
2710,679
2711,1003
2712,544
2713,620
2714,979
2715,679
2716,1003
2717,544
2718,620
2719,979
2720,679
2721,1003
2722,544
2723,620
2724,979
2725,679
2726,1003
2727,544
2728,620
2729,979
2730,679
2731,1003
2732,544
2733,620
2734,979
2735,679
2736,1003
2737,544
2738,620
2739,979
2740,679
2741,1003
2742,544
2743,620
2744,979
2745,679
2746,1003
2747,544
2748,620
2749,979
2750,679
2751,1003
2752,544
2753,620
2754,979
2755,679
2756,1003
2757,544
2758,620
2759,979
2760,679
2761,1003
2762,544
2763,620
2764,979
2765,679
2766,1003
2767,544
2768,620
2769,979
2770,679
2771,1003
2772,544
2773,620
2774,979
2775,679
2776,1003
2777,544
2778,620
2779,979
2780,679
2781,1003
2784,979
2785,679
2786,1003
2787,544
2788,620
2789,979
2790,679
2791,1003
2792,544
2793,620
2794,979
2795,679
2796,1003
2797,544
2798,620
2799,979
2800,679
2801,1003
2802,544
2803,620
2804,979
2805,679
2806,1003
2807,544
2808,620
2809,979
2810,679
2811,1003
2812,544
2813,620
2814,979
